subject,brand,photo_name
4,JORDAN,1.jpg
7,JORDAN,2.jpg
6,ADIDAS,3.jpg
7,JORDAN,4.jpg
4,ADIDAS,5.jpg
1,JORDAN,6.jpg
4,ADIDAS,7.jpg
2,ADIDAS,8.jpg
9,JORDAN,9.jpg
8,ADIDAS,10.jpg
2,JORDAN,11.jpg
9,ADIDAS,12.jpg
6,JORDAN,13.jpg
10,JORDAN,14.jpg
1,JORDAN,15.jpg
7,JORDAN,16.jpg
5,JORDAN,17.jpg
3,ADIDAS,18.jpg
8,JORDAN,19.jpg
3,JORDAN,20.jpg
9,JORDAN,21.jpg
1,JORDAN,22.jpg
6,JORDAN,23.jpg
2,ADIDAS,24.jpg
3,JORDAN,25.jpg
8,ADIDAS,26.jpg
5,JORDAN,28.jpg
8,JORDAN,29.jpg
4,JORDAN,30.jpg
9,JORDAN,31.jpg
5,JORDAN,32.jpg
1,JORDAN,33.jpg
4,JORDAN,34.jpg
4,JORDAN,35.jpg
3,JORDAN,36.jpg
7,JORDAN,37.jpg
1,JORDAN,38.jpg
4,JORDAN,39.jpg
8,JORDAN,40.jpg
1,JORDAN,41.jpg
3,JORDAN,42.jpg
9,JORDAN,43.jpg
4,JORDAN,44.jpg
7,JORDAN,45.jpg
5,JORDAN,46.jpg
6,JORDAN,47.jpg
5,JORDAN,48.jpg
2,JORDAN,49.jpg
8,JORDAN,50.jpg
10,JORDAN,51.jpg
5,JORDAN,52.jpg
1,JORDAN,53.jpg
5,JORDAN,54.jpg
1,NIKE,55.jpg
6,NIKE,56.jpg
2,ADIDAS,58.jpg
5,NIKE,59.jpg
1,NIKE,60.jpg
1,NIKE,61.jpg
8,NIKE,62.jpg
4,NIKE,63.jpg
10,NIKE,64.jpg
2,NIKE,65.jpg
7,NIKE,66.jpg
9,NIKE,67.jpg
8,NIKE,68.jpg
8,NIKE,69.jpg
7,NIKE,70.jpg
3,NIKE,71.jpg
3,NIKE,72.jpg
5,NIKE,73.jpg
5,NIKE,74.jpg
9,NIKE,75.jpg
10,NIKE,76.jpg
4,NIKE,77.jpg
10,NIKE,78.jpg
5,NIKE,79.jpg
3,NIKE,80.jpg
2,NIKE,81.jpg
2,NIKE,82.jpg
2,JORDAN,83.jpg
2,JORDAN,84.jpg
3,JORDAN,85.jpg
2,JORDAN,86.jpg
8,JORDAN,87.jpg
2,JORDAN,88.jpg
